Mac Id, TimeStamp, Model Name, Event Details, CPU Usage(%), RAM(%)
1286114348209, 2022-10-25 10:00:02, Mouth Opening Detection, Mouth Opened, 20.0, 82.4
1286114348209, 2022-10-25 10:00:11, Head Pose, Head Turned left, 32.25, 82.3
1286114348209, 2022-10-25 10:00:11, Head Pose, Head Turned left, 32.25, 82.3
1286114348209, 2022-10-25 10:00:12, Head Pose, Head Turned left, 32.25, 82.3
1286114348209, 2022-10-25 10:00:16, Head Pose, Head Turned left, 29.75, 82.3
1286114348209, 2022-10-25 10:00:29, Mouth Opening Detection, Mouth Opened, 26.125, 82.1
1286114348209, 2022-10-25 10:00:30, Mouth Opening Detection, Mouth Opened, 26.125, 82.1
1286114348209, 2022-10-25 10:00:34, Object Detection, Mobile Phone detected, 33.0, 82.1
1286114348209, 2022-10-25 10:00:38, Head Pose, Head Turned left, 39.375, 82.1
1286114348209, 2022-10-25 10:00:39, Face Detection, 2 faces detected, 39.375, 82.1
1286114348209, 2022-10-25 10:00:39, Head Pose, Head Turned left, 39.375, 82.1
1286114348209, 2022-10-25 10:00:42, Head Pose, Head Turned Right, 40.25, 82.1
1286114348209, 2022-10-25 10:00:42, Head Pose, Head Turned Right, 40.25, 82.1
1286114348209, 2022-10-25 10:00:44, Head Pose, Head Turned Down, 40.25, 82.1
1286114348209, 2022-10-25 10:00:45, Head Pose, Head Turned Down, 43.0, 82.2
1286114348209, 2022-10-25 10:00:47, Eye Tracking, Eyes Looking right, 43.0, 82.2
